pathway_name	website
1,25-dihydroxyvitamin D3 biosynthesis	https://humancyc.org/HUMAN/NEW-IMAGE?object=PWY-6076&&redirect=T
phenylethylamine degradation I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=2PHENDEG-PWY
spermine biosynthesis	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=ARGSPECAT-PWY
asparagine biosynthesis I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=ASPARAGINE-BIOSYNTHESIS
asparagine degradation I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=ASPARAGINE-DEG1-PWY-1
aspartate biosynthesis	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=ASPARTATESYN-PWY
beta-alanine degradation I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=BETA-ALA-DEGRADATION-I-PWY
lactose degradation III	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=BGALACT-PWY
spermidine biosynthesis I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=BSUBPOLYAMSYN-PWY
coenzyme A biosynthesis	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=COA-PWY-1
L-cysteine degradation I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=CYSTEINE-DEG-PWY
fatty acid beta-oxidation I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=FAO-PWY
glutamine biosynthesis I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=GLNSYN-PWY
N-acetylglucosamine degradation I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=GLUAMCAT-PWY
glutamine degradation I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=GLUTAMINDEG-PWY
glutathione biosynthesis	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=GLUTATHIONESYN-PWY
glycine biosynthesis I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=GLYSYN-ALA-PWY
heme biosynthesis from uroporphyrinogen-III I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=HEME-BIOSYNTHESIS-II
cysteine biosynthesis/homocysteine degradation	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=HOMOCYSDEGR-PWY
4-hydroxyproline degradation I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=HYDROXYPRODEG-PWY
triacylglycerol degradation	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=LIPAS-PWY
phospholipases	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=LIPASYN-PWY
D-mannose degradation	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=MANNCAT-PWY
dolichyl-diphosphooligosaccharide biosynthesis	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
methylglyoxal degradation VI	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=MGLDLCTANA-PWY
NAD phosphorylation and dephosphorylation	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=NADPHOS-DEPHOS-PWY-1
pentose phosphate pathway (non-oxidative branch)	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=NONOXIPENT-PWY
pentose phosphate pathway (oxidative branch)	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=OXIDATIVEPENT-PWY-1
adenine and adenosine salvage I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=P121-PWY
pentose phosphate pathway	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PENTOSE-P-PWY
phenylalanine degradation I (aerobic)	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PHENYLALANINE-DEG1-PWY
pyridoxal 5'-phosphate salvage pathway	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PLPSAL-PWY
proline biosynthesis I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PROSYN-PWY
putrescine degradation III	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-0
trehalose degradation II (trehalase)	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY0-1182
purine ribonucleosides degradation to ribose-1-phosphate	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY0-1296
glutamate dependent acid resistance	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY0-1305
acetate conversion to acetyl-CoA	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY0-1313
PRPP biosynthesis I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY0-662
formaldehyde oxidation II (glutathione-dependent)	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-1801
folate polyglutamylation	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-2161
glutamate removal from folates	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-2161B
myo-inositol biosynthesis	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-2301
glycine degradation (creatine biosynthesis)	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-3661-1
uracil degradation II (reductive)	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-3982
sphingomyelin metabolism	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY3DJ-11281
sphingosine and sphingosine-1-phosphate metabolism	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY3DJ-11470
ceramide biosynthesis	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY3DJ-12
phosphatidylcholine biosynthesis I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY3O-450
gamma-glutamyl cycle	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-4041
glutathione-mediated detoxification I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-4061
glutathione redox reactions I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-4081
sorbitol degradation I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-4101
glycerol degradation I	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-4261
UDP-D-xylose and UDP-D-glucuronate biosynthesis	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-4821
protein citrullination	http://humancyc.org/HUMAN/NEW-IMAGE?type=PATHWAY&object=PWY-4921
