pathway_name	website
Focal adhesion	https://www.kegg.jp/kegg-bin/show_pathway?hsa04510
Proteoglycans in cancer	https://www.kegg.jp/kegg-bin/show_pathway?hsa05205
Human papillomavirus infection	https://www.kegg.jp/kegg-bin/show_pathway?hsa05165
ECM-receptor interaction	https://www.kegg.jp/kegg-bin/show_pathway?hsa04512
PI3K-Akt signaling pathway	https://www.kegg.jp/kegg-bin/show_pathway?hsa04151
Human T-cell leukemia virus 1 infection	https://www.kegg.jp/kegg-bin/show_pathway?hsa05166
Hepatocellular carcinoma	https://www.kegg.jp/kegg-bin/show_pathway?hsa05225
AGE-RAGE signaling pathway in diabetic complications	https://www.kegg.jp/kegg-bin/show_pathway?hsa04933
Rap1 signaling pathway	https://www.kegg.jp/kegg-bin/show_pathway?hsa04015
Pathways in cancer	https://www.kegg.jp/kegg-bin/show_pathway?hsa05200
Osteoclast differentiation	https://www.kegg.jp/kegg-bin/show_pathway?hsa04380
Fluid shear stress and atherosclerosis	https://www.kegg.jp/kegg-bin/show_pathway?hsa05418
Regulation of actin cytoskeleton	https://www.kegg.jp/kegg-bin/show_pathway?hsa04810
Staphylococcus aureus infection	https://www.kegg.jp/kegg-bin/show_pathway?hsa05150
Small cell lung cancer	https://www.kegg.jp/kegg-bin/show_pathway?hsa05222
Adherens junction	https://www.kegg.jp/kegg-bin/show_pathway?hsa04520
Leukocyte transendothelial migration	https://www.kegg.jp/kegg-bin/show_pathway?hsa04670
Complement and coagulation cascades	https://www.kegg.jp/kegg-bin/show_pathway?hsa04610
Breast cancer	https://www.kegg.jp/kegg-bin/show_pathway?hsa05224
EGFR tyrosine kinase inhibitor resistance	https://www.kegg.jp/kegg-bin/show_pathway?hsa01521
Basal cell carcinoma	https://www.kegg.jp/kegg-bin/show_pathway?hsa05217
Signaling pathways regulating pluripotency of stem cells	https://www.kegg.jp/kegg-bin/show_pathway?hsa04550
VEGF signaling pathway	https://www.kegg.jp/kegg-bin/show_pathway?hsa04370
