pathway_name	website
Alpha6Beta4Integrin	http://netpath.org/pathways?path_id=NetPath_1
AndrogenReceptor	http://netpath.org/pathways?path_id=NetPath_2
BCR	http://netpath.org/pathways?path_id=NetPath_12
EGFR1	http://netpath.org/pathways?path_id=NetPath_4
FSH	http://netpath.org/pathways?path_id=NetPath_25
Hedgehog	http://netpath.org/pathways?path_id=NetPath_10
ID	http://netpath.org/pathways?path_id=NetPath_5
IL-7	http://netpath.org/pathways?path_id=NetPath_19
IL1	http://netpath.org/pathways?path_id=NetPath_13
IL2	http://netpath.org/pathways?path_id=NetPath_14
IL3	http://netpath.org/pathways?path_id=NetPath_15
IL4	http://netpath.org/pathways?path_id=NetPath_16
IL5	http://netpath.org/pathways?path_id=NetPath_17
IL6	http://netpath.org/pathways?path_id=NetPath_18
IL9	http://netpath.org/pathways?path_id=NetPath_20
KitReceptor	http://netpath.org/pathways?path_id=NetPath_6
Leptin	http://netpath.org/pathways?path_id=NetPath_22
Notch	http://netpath.org/pathways?path_id=NetPath_3
Prolactin	http://netpath.org/pathways?path_id=NetPath_56
RANKL	http://netpath.org/pathways?path_id=NetPath_21
TCR	http://netpath.org/pathways?path_id=NetPath_11
TGF_beta_Receptor	http://netpath.org/pathways?path_id=NetPath_7
TNFalpha	http://netpath.org/pathways?path_id=NetPath_9
TSH	http://netpath.org/pathways?path_id=NetPath_23
TSLP	http://netpath.org/pathways?path_id=NetPath_24
TWEAK	http://netpath.org/pathways?path_id=NetPath_26
Wnt	http://netpath.org/pathways?path_id=NetPath_8
