pathway_name	website
5HT1 type receptor mediated signaling pathway	http://identifiers.org/panther.pathway/P04373
5HT2 type receptor mediated signaling pathway	http://identifiers.org/panther.pathway/P04374
5HT3 type receptor mediated signaling pathway	http://identifiers.org/panther.pathway/P04375
5HT4 type receptor mediated signaling pathway	http://identifiers.org/panther.pathway/P04376
5-Hydroxytryptamine biosynthesis	http://identifiers.org/panther.pathway/P04371
5-Hydroxytryptamine degredation	http://identifiers.org/panther.pathway/P04372
Adenine and hypoxanthine salvage pathway	http://identifiers.org/panther.pathway/P02723
Adrenaline and noradrenaline biosynthesis	http://identifiers.org/panther.pathway/P00001
Alpha adrenergic receptor signaling pathway	http://identifiers.org/panther.pathway/P00002
Alzheimer disease-amyloid secretase pathway	http://identifiers.org/panther.pathway/P00003
Alzheimer disease-presenilin pathway	http://identifiers.org/panther.pathway/P00004
Angiogenesis	http://identifiers.org/panther.pathway/P00005
Apoptosis signaling pathway	http://identifiers.org/panther.pathway/P00006
Arginine biosynthesis	http://identifiers.org/panther.pathway/P02728
Asparagine and aspartate biosynthesis	http://identifiers.org/panther.pathway/P02730
ATP synthesis	http://identifiers.org/panther.pathway/P02721
Axon guidance mediated by netrin	http://identifiers.org/panther.pathway/P00009
Axon guidance mediated by semaphorins	http://identifiers.org/panther.pathway/P00007
Axon guidance mediated by Slit/Robo	http://identifiers.org/panther.pathway/P00008
B cell activation	http://identifiers.org/panther.pathway/P00010
Beta1 adrenergic receptor signaling pathway	http://identifiers.org/panther.pathway/P04377
Beta2 adrenergic receptor signaling pathway	http://identifiers.org/panther.pathway/P04378
Beta3 adrenergic receptor signaling pathway	http://identifiers.org/panther.pathway/P04379
Blood coagulation	http://identifiers.org/panther.pathway/P00011
Cadherin signaling pathway	http://identifiers.org/panther.pathway/P00012
Cell cycle	http://identifiers.org/panther.pathway/P00013
Cholesterol biosynthesis	http://identifiers.org/panther.pathway/P00014
Circadian clock system	http://identifiers.org/panther.pathway/P00015
Coenzyme A biosynthesis	http://identifiers.org/panther.pathway/P02736
Cortocotropin releasing factor receptor signaling pathway	http://identifiers.org/panther.pathway/P04380
Cytoskeletal regulation by Rho GTPase	http://identifiers.org/panther.pathway/P00016
