pathway_name	website
2-LTR circle formation	http://identifiers.org/reactome/R-HSA-164843
A tetrasaccharide linker sequence is required for GAG synthesis	http://identifiers.org/reactome/R-HSA-1971475
Abacavir metabolism	http://identifiers.org/reactome/R-HSA-2161541
Abacavir transmembrane transport	http://identifiers.org/reactome/R-HSA-2161517
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	http://identifiers.org/reactome/R-HSA-73930
ABC transporters in lipid homeostasis	http://identifiers.org/reactome/R-HSA-1369062
ABC-family proteins mediated transport	http://identifiers.org/reactome/R-HSA-382556
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate	http://identifiers.org/reactome/R-HSA-2978092
Abortive elongation of HIV-1 transcript in the absence of Tat	http://identifiers.org/reactome/R-HSA-167242
Acetylcholine Neurotransmitter Release Cycle	http://identifiers.org/reactome/R-HSA-264642
Acetylcholine regulates insulin secretion	http://identifiers.org/reactome/R-HSA-399997
Activated NOTCH1 Transmits Signal to the Nucleus	http://identifiers.org/reactome/R-HSA-2122948
Activated NTRK2 signals through CDK5	http://identifiers.org/reactome/R-HSA-9032845
Activated NTRK2 signals through FRS2 and FRS3	http://identifiers.org/reactome/R-HSA-9028731
Activated NTRK2 signals through FYN	http://identifiers.org/reactome/R-HSA-9032500
Activated NTRK2 signals through PI3K	http://identifiers.org/reactome/R-HSA-9028335
Activated NTRK2 signals through PLCG1	http://identifiers.org/reactome/R-HSA-9026527
Activated NTRK2 signals through RAS	http://identifiers.org/reactome/R-HSA-9026519
Activated NTRK3 signals through PI3K	http://identifiers.org/reactome/R-HSA-9603381
Activated NTRK3 signals through PLCG1	http://identifiers.org/reactome/R-HSA-9034793
Activated NTRK3 signals through RAS	http://identifiers.org/reactome/R-HSA-9034864
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	http://identifiers.org/reactome/R-HSA-5625886
Activated point mutants of FGFR2	http://identifiers.org/reactome/R-HSA-2033519
activated TAK1 mediates p38 MAPK activation	http://identifiers.org/reactome/R-HSA-450302
Activation and oligomerization of BAK protein	http://identifiers.org/reactome/R-HSA-111452
Activation of AMPA receptors	http://identifiers.org/reactome/R-HSA-399710
Activation of AMPK downstream of NMDARs	http://identifiers.org/reactome/R-HSA-9619483
Activation of anterior HOX genes in hindbrain development during early embryogenesis	http://identifiers.org/reactome/R-HSA-5617472
Activation of ATR in response to replication stress	http://identifiers.org/reactome/R-HSA-176187
Activation of BAD and translocation to mitochondria	http://identifiers.org/reactome/R-HSA-111447
Activation of BID and translocation to mitochondria	http://identifiers.org/reactome/R-HSA-75108
Activation of BIM and translocation to mitochondria	http://identifiers.org/reactome/R-HSA-111446
Activation of BMF and translocation to mitochondria	http://identifiers.org/reactome/R-HSA-139910
Activation of C3 and C5	http://identifiers.org/reactome/R-HSA-174577
Activation of Ca-permeable Kainate Receptor	http://identifiers.org/reactome/R-HSA-451308
Activation of caspases through apoptosome-mediated cleavage	http://identifiers.org/reactome/R-HSA-111459
Activation of DNA fragmentation factor	http://identifiers.org/reactome/R-HSA-211227
Activation of E2F1 target genes at G1/S	http://identifiers.org/reactome/R-HSA-539107
Activation of G protein gated Potassium channels	http://identifiers.org/reactome/R-HSA-1296041
Activation of gene expression by SREBF (SREBP)	http://identifiers.org/reactome/R-HSA-2426168
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	http://identifiers.org/reactome/R-HSA-936964
Activation of Matrix Metalloproteinases	http://identifiers.org/reactome/R-HSA-1592389
Activation of Na-permeable kainate receptors	http://identifiers.org/reactome/R-HSA-451307
Activation of NF-kappaB in B cells	http://identifiers.org/reactome/R-HSA-1169091
Activation of NIMA Kinases NEK9, NEK6, NEK7	http://identifiers.org/reactome/R-HSA-2980767
Activation of NOXA and translocation to mitochondria	http://identifiers.org/reactome/R-HSA-111448
Activation of PKB	http://identifiers.org/reactome/R-HSA-165158
Activation of PPARGC1A (PGC-1alpha) by phosphorylation	http://identifiers.org/reactome/R-HSA-2151209
Activation of PUMA and translocation to mitochondria	http://identifiers.org/reactome/R-HSA-139915
Activation of RAC1	http://identifiers.org/reactome/R-HSA-428540
Activation of RAC1 downstream of NMDARs	http://identifiers.org/reactome/R-HSA-9619229
Activation of RAS in B cells	http://identifiers.org/reactome/R-HSA-1169092
Activation of rRNA Expression by ERCC6 (CSB) and EHMT2 (G9a)	http://identifiers.org/reactome/R-HSA-427389
Activation of SMO	http://identifiers.org/reactome/R-HSA-5635838
Activation of the AP-1 family of transcription factors	http://identifiers.org/reactome/R-HSA-450341
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	http://identifiers.org/reactome/R-HSA-72662
Activation of the phototransduction cascade	http://identifiers.org/reactome/R-HSA-2485179
Activation of the pre-replicative complex	http://identifiers.org/reactome/R-HSA-68962
Activation of the TFAP2 (AP-2) family of transcription factors	http://identifiers.org/reactome/R-HSA-8866907
Activation, translocation and oligomerization of BAX	http://identifiers.org/reactome/R-HSA-114294
Acyl chain remodeling of CL	http://identifiers.org/reactome/R-HSA-1482798
Acyl chain remodeling of DAG and TAG	http://identifiers.org/reactome/R-HSA-1482883
Acyl chain remodelling of PC	http://identifiers.org/reactome/R-HSA-1482788
Acyl chain remodelling of PE	http://identifiers.org/reactome/R-HSA-1482839
Acyl chain remodelling of PG	http://identifiers.org/reactome/R-HSA-1482925
Acyl chain remodelling of PI	http://identifiers.org/reactome/R-HSA-1482922
Acyl chain remodelling of PS	http://identifiers.org/reactome/R-HSA-1482801
Adenylate cyclase activating pathway	http://identifiers.org/reactome/R-HSA-170660
Adenylate cyclase inhibitory pathway	http://identifiers.org/reactome/R-HSA-170670
Adherens junctions interactions	http://identifiers.org/reactome/R-HSA-418990
ADP signalling through P2Y purinoceptor 1	http://identifiers.org/reactome/R-HSA-418592
ADP signalling through P2Y purinoceptor 12	http://identifiers.org/reactome/R-HSA-392170
Adrenaline,noradrenaline inhibits insulin secretion	http://identifiers.org/reactome/R-HSA-400042
Adrenoceptors	http://identifiers.org/reactome/R-HSA-390696
Advanced glycosylation endproduct receptor signaling	http://identifiers.org/reactome/R-HSA-879415
Aflatoxin activation and detoxification	http://identifiers.org/reactome/R-HSA-5423646
Agmatine biosynthesis	http://identifiers.org/reactome/R-HSA-351143
AKT phosphorylates targets in the cytosol	http://identifiers.org/reactome/R-HSA-198323
AKT phosphorylates targets in the nucleus	http://identifiers.org/reactome/R-HSA-198693
AKT-mediated inactivation of FOXO1A	http://identifiers.org/reactome/R-HSA-211163
ALKBH3 mediated reversal of alkylation damage	http://identifiers.org/reactome/R-HSA-112126
Alpha-defensins	http://identifiers.org/reactome/R-HSA-1462054
alpha-linolenic acid (ALA) metabolism	http://identifiers.org/reactome/R-HSA-2046106
Alpha-oxidation of phytanate	http://identifiers.org/reactome/R-HSA-389599
Alternative complement activation	http://identifiers.org/reactome/R-HSA-173736
Amino acid synthesis and interconversion (transamination)	http://identifiers.org/reactome/R-HSA-70614
Amino acid transport across the plasma membrane	http://identifiers.org/reactome/R-HSA-352230
AMPK inhibits chREBP transcriptional activation activity	http://identifiers.org/reactome/R-HSA-163680
Amplification of signal from unattached kinetochores via a MAD2 inhibitory signal	http://identifiers.org/reactome/R-HSA-141444
Amyloid fiber formation	http://identifiers.org/reactome/R-HSA-977225
Anchoring fibril formation	http://identifiers.org/reactome/R-HSA-2214320
Anchoring of the basal body to the plasma membrane	http://identifiers.org/reactome/R-HSA-5620912
Androgen biosynthesis	http://identifiers.org/reactome/R-HSA-193048
Antagonism of Activin by Follistatin	http://identifiers.org/reactome/R-HSA-2473224
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	http://identifiers.org/reactome/R-HSA-983695
Antimicrobial peptides	http://identifiers.org/reactome/R-HSA-6803157
APC truncation mutants have impaired AXIN binding	http://identifiers.org/reactome/R-HSA-5467337
APC-Cdc20 mediated degradation of Nek2A	http://identifiers.org/reactome/R-HSA-179409
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	http://identifiers.org/reactome/R-HSA-5649702
APOBEC3G mediated resistance to HIV-1 infection	http://identifiers.org/reactome/R-HSA-180689
Apoptotic cleavage of cell adhesion proteins	http://identifiers.org/reactome/R-HSA-351906
Apoptotic cleavage of cellular proteins	http://identifiers.org/reactome/R-HSA-111465
Apoptotic execution phase	http://identifiers.org/reactome/R-HSA-75153
